h1: Manhattan
| ID  |            input             | cost of path  |nodes expanded |  fringe size  | max frontier size  | search depth  | max search depth |    running time    |
|  1  | [5, 7, 1, 3, 0, 8, 2, 6, 4]  |      20       |      286      |      175      |        176         |      20       |        20        |     0.01826320     |
|  2  | [6, 0, 3, 5, 8, 1, 4, 7, 2]  |      21       |      335      |      207      |        208         |      21       |        21        |     0.01506980     |
|  3  | [4, 2, 6, 7, 5, 8, 1, 0, 3]  |      23       |      642      |      378      |        379         |      23       |        23        |     0.02388640     |
|  4  | [1, 4, 7, 6, 0, 8, 2, 3, 5]  |      22       |      832      |      498      |        499         |      22       |        22        |     0.04178520     |
|  5  | [1, 7, 6, 3, 4, 5, 2, 0, 8]  |      25       |     2299      |     1286      |        1287        |      25       |        25        |     0.11350020     |
|  6  | [0, 1, 5, 2, 7, 8, 3, 6, 4]  |      18       |      288      |      182      |        183         |      18       |        18        |     0.01337660     |
|  7  | [2, 8, 6, 4, 5, 7, 3, 1, 0]  |      24       |     1123      |      638      |        639         |      24       |        24        |     0.04893030     |
|  8  | [0, 5, 3, 4, 2, 6, 7, 8, 1]  |      24       |     1287      |      715      |        716         |      24       |        24        |     0.05837410     |
|  9  | [7, 6, 2, 1, 4, 3, 0, 8, 5]  |      20       |      295      |      178      |        179         |      20       |        20        |     0.01139080     |
| 10  | [5, 3, 1, 7, 2, 8, 0, 6, 4]  |      22       |     1104      |      653      |        654         |      22       |        22        |     0.05431500     |

|              Average               |     21.9      |     849.1     |     491.0     |       492.0        |     21.9      |       21.9       |     0.03988916     |
