h2: Misplaced Tiles
| ID  |            input             | cost of path  |nodes expanded |  fringe size  | max frontier size  | search depth  | max search depth |    running time    |
|  1  | [5, 7, 1, 3, 0, 8, 2, 6, 4]  |      20       |     3669      |     2200      |        2201        |      20       |        20        |     0.15430820     |
|  2  | [6, 0, 3, 5, 8, 1, 4, 7, 2]  |      21       |     4784      |     2820      |        2821        |      21       |        21        |     0.18068330     |
|  3  | [4, 2, 6, 7, 5, 8, 1, 0, 3]  |      23       |     11666     |     6292      |        6293        |      23       |        23        |     0.63885830     |
|  4  | [1, 4, 7, 6, 0, 8, 2, 3, 5]  |      22       |     8872      |     4932      |        4933        |      22       |        22        |     0.38832850     |
|  5  | [1, 7, 6, 3, 4, 5, 2, 0, 8]  |      25       |     25656     |     11461     |       11462        |      25       |        25        |     1.54008110     |
|  6  | [0, 1, 5, 2, 7, 8, 3, 6, 4]  |      18       |     1266      |      767      |        768         |      18       |        18        |     0.06384900     |
|  7  | [2, 8, 6, 4, 5, 7, 3, 1, 0]  |      24       |     15578     |     7989      |        7990        |      24       |        24        |     0.74486010     |
|  8  | [0, 5, 3, 4, 2, 6, 7, 8, 1]  |      24       |     16523     |     8539      |        8540        |      24       |        24        |     1.42755060     |
|  9  | [7, 6, 2, 1, 4, 3, 0, 8, 5]  |      20       |     2840      |     1696      |        1697        |      20       |        20        |     0.18024190     |
| 10  | [5, 3, 1, 7, 2, 8, 0, 6, 4]  |      22       |     7681      |     4401      |        4402        |      22       |        22        |     0.37403780     |

|              Average               |     21.9      |    9853.5     |    5109.7     |       5110.7       |     21.9      |       21.9       |     0.56927988     |
