h3: Gashnig
| ID  |            input             | cost of path  |nodes expanded |  fringe size  | max frontier size  | search depth  | max search depth |    running time    |
|  1  | [5, 7, 1, 3, 0, 8, 2, 6, 4]  |      20       |     2749      |     1767      |        1768        |      20       |        20        |     0.17085730     |
|  2  | [6, 0, 3, 5, 8, 1, 4, 7, 2]  |      21       |     3450      |     2223      |        2224        |      21       |        21        |     0.22503210     |
|  3  | [4, 2, 6, 7, 5, 8, 1, 0, 3]  |      23       |     8478      |     4924      |        4925        |      23       |        23        |     0.59241040     |
|  4  | [1, 4, 7, 6, 0, 8, 2, 3, 5]  |      22       |     6406      |     3803      |        3804        |      22       |        22        |     0.59056790     |
|  5  | [1, 7, 6, 3, 4, 5, 2, 0, 8]  |      25       |     19193     |     9705      |        9706        |      25       |        25        |     2.30507610     |
|  6  | [0, 1, 5, 2, 7, 8, 3, 6, 4]  |      18       |      971      |      622      |        623         |      18       |        18        |     0.04787180     |
|  7  | [2, 8, 6, 4, 5, 7, 3, 1, 0]  |      24       |     10979     |     6268      |        6269        |      24       |        24        |     0.77140810     |
|  8  | [0, 5, 3, 4, 2, 6, 7, 8, 1]  |      24       |     12443     |     7076      |        7077        |      24       |        24        |     0.96768540     |
|  9  | [7, 6, 2, 1, 4, 3, 0, 8, 5]  |      20       |     2093      |     1326      |        1327        |      20       |        20        |     0.09231030     |
| 10  | [5, 3, 1, 7, 2, 8, 0, 6, 4]  |      22       |     5599      |     3489      |        3490        |      22       |        22        |     0.26657780     |

|              Average               |     21.9      |    7236.1     |    4120.3     |       4121.3       |     21.9      |       21.9       |     0.60297972     |
